"","DomainOwnerName","total_accesses","notes"
"1","Google",71,""
"2","Other",67,""
"3","Apple",45,""
"4","Meta",14,""
"5","Microsoft",12,""
"6","Spotify",12,""
"7","Signal Technology Foundation",6,""
"8","Strava Inc.",5,""
"9","Unity Software",4,""
"10","AddApptr",3,""
"11","DigiCert",3,""
"12","SMG AG",3,""
"13","AppLovin Corp.",2,""
"14","Branch",2,""
"15","Braze Inc.",2,""
"16","Unity Inc.",2,""
"17","Amazon",1,""
"18","Amplitude",1,""
"19","Digital Turbine",1,""
"20","Functional Software",1,""
"21","Kochava",1,""
"22","Mapbox",1,""
"23","OneTrust",1,""
"24","RevenueCat",1,""
"25","Usercentrics GmbH",1,""
"26","Vungle Inc.",1,""
"27","comScore Inc.",1,""
