"","DomainOwnerName","total_accesses","notes"
"1","Google",52,""
"2","Apple",34,""
"3","Other",26,""
"4","Microsoft",11,""
"5","Meta",8,""
"6","Amazon",6,""
"7","Unity Software",4,""
"8","Adobe",3,""
"9","AppLovin Corp.",2,""
"10","Branch",2,""
"11","DigiCert",2,""
"12","SMG AG",2,""
"13","Unity Inc.",2,""
"14","AT&T Inc.",1,""
"15","Digital Turbine",1,""
"16","Functional Software",1,""
"17","Kochava",1,""
"18","Mapbox",1,""
"19","Moloco Inc.",1,""
"20","OneTrust",1,""
"21","Usercentrics GmbH",1,""
"22","Vungle Inc.",1,""
"23","comScore Inc.",1,""
