"","firstTimeStamp","timeStamp","type","hits","bundleID","domain","domainOwner","domainType","domainClassification","initiatedType"
"1","2025-02-01T20:29:46.451+01:00","2025-02-09T16:59:31.131+01:00","networkActivity",82,"com.spotify.client","gew4-spclient.spotify.com","",2,1,"AppInitiated"
"2","2025-02-01T20:29:46.448+01:00","2025-02-09T19:17:29.965+01:00","networkActivity",153,"com.spotify.client","gew4-dealer.g2.spotify.com","",2,1,"AppInitiated"
"3","2025-02-01T20:29:29.317+01:00","2025-02-09T18:42:17.105+01:00","networkActivity",95,"com.spotify.client","api3.branch.io","",2,1,"AppInitiated"
"4","2025-02-01T20:29:46.439+01:00","2025-02-07T18:45:36.796+01:00","networkActivity",507,"com.spotify.client","fe80::ce0:dcb6:c756:10b5","",2,2,"AppInitiated"
"5","2025-02-01T20:29:31.542+01:00","2025-02-09T18:42:17.263+01:00","networkActivity",103,"com.spotify.client","cdn.branch.io","",2,1,"AppInitiated"
"6","2025-02-01T20:29:46.417+01:00","2025-02-09T18:47:42.444+01:00","networkActivity",387,"com.spotify.client","ff02::fb","",2,2,"AppInitiated"
"7","2025-02-01T20:29:48.019+01:00","2025-02-09T18:33:23.007+01:00","networkActivity",73,"com.spotify.client","app-measurement.com","Google LLC",1,1,"AppInitiated"
"8","2025-02-01T20:29:46.446+01:00","2025-02-09T16:59:30.213+01:00","networkActivity",20,"com.spotify.client","census-app-x.scorecardresearch.com","",2,1,"AppInitiated"
"9","2025-02-01T20:29:30.802+01:00","2025-02-09T19:11:52.583+01:00","networkActivity",33,"com.spotify.client","clients3.google.com","",2,1,"AppInitiated"
"10","2025-02-01T20:29:30.793+01:00","2025-02-09T19:17:29.059+01:00","networkActivity",171,"com.spotify.client","apresolve.spotify.com","",2,1,"AppInitiated"
"11","2025-02-01T20:30:02.127+01:00","2025-02-09T18:33:10.640+01:00","networkActivity",122,"com.spotify.client","image-cdn-ak.spotifycdn.com","",2,1,"AppInitiated"
"12","2025-02-01T20:30:02.106+01:00","2025-02-09T18:42:17.255+01:00","networkActivity",65,"com.spotify.client","video-akpcw.spotifycdn.com","",2,1,"AppInitiated"
"13","2025-02-01T20:29:35.552+01:00","2025-02-06T18:32:55.821+01:00","networkActivity",3,"com.spotify.client","aet.spotify.com","",2,1,"AppInitiated"
"14","2025-02-01T20:29:29.252+01:00","2025-02-09T19:17:29.116+01:00","networkActivity",211,"com.spotify.client","spclient.wg.spotify.com","",2,1,"AppInitiated"
"15","2025-02-01T20:29:29.270+01:00","2025-02-09T18:33:10.698+01:00","networkActivity",86,"com.spotify.client","login5.spotify.com","",2,1,"AppInitiated"
"16","2025-02-01T20:29:29.002+01:00","2025-02-09T16:59:21.728+01:00","networkActivity",19,"com.spotify.client","inappcheck.itunes.apple.com","",2,1,"AppInitiated"
"17","2025-02-01T20:30:02.103+01:00","2025-02-02T01:00:27.675+01:00","networkActivity",9,"com.spotify.client","fe80::1804:42:c59d:d9d3","",2,2,"AppInitiated"
"18","2025-02-01T20:30:02.421+01:00","2025-02-09T18:33:11.982+01:00","networkActivity",59,"com.spotify.client","i.scdn.co","",2,1,"AppInitiated"
"19","2025-02-01T20:30:02.419+01:00","2025-02-09T18:33:18.060+01:00","networkActivity",187,"com.spotify.client","audio-fa.scdn.co","",2,1,"AppInitiated"
"20","2025-02-01T20:30:02.238+01:00","2025-02-09T18:33:09.825+01:00","networkActivity",44,"com.spotify.client","firebaselogging-pa.googleapis.com","Google LLC",1,1,"AppInitiated"
"21","2025-02-01T20:30:02.313+01:00","2025-02-07T18:36:13.458+01:00","networkActivity",310,"com.spotify.client","::9acc:f3ff:fe67:51a3","",2,2,"AppInitiated"
"22","2025-02-01T20:35:51.548+01:00","2025-02-07T17:56:00.059+01:00","networkActivity",287,"com.spotify.client","fe80::100a:69e2:273f:9660","",2,2,"AppInitiated"
"23","2025-02-01T20:37:58.302+01:00","2025-02-09T17:25:26.845+01:00","networkActivity",74,"com.spotify.client","canvaz.scdn.co","",2,1,"AppInitiated"
"24","2025-02-01T20:41:22.394+01:00","2025-02-07T18:09:29.240+01:00","networkActivity",45,"com.spotify.client","fe80::1cc7:9d8e:fc6:65e7","",2,2,"AppInitiated"
"25","2025-02-01T21:08:25.769+01:00","2025-02-09T10:13:30.946+01:00","networkActivity",196,"com.spotify.client","fe80::b8de:e621:9472:a86f","",2,2,"AppInitiated"
"26","2025-02-01T22:18:01.505+01:00","2025-02-06T15:53:08.920+01:00","networkActivity",18,"com.spotify.client","fe80::9acc:f3ff:fe67:51a3","",2,2,"AppInitiated"
"27","2025-02-01T23:37:09.900+01:00","2025-02-09T18:48:02.085+01:00","networkActivity",196,"com.spotify.client","fe80::1","",2,2,"AppInitiated"
"28","2025-02-02T13:50:46.640+01:00","2025-02-04T00:07:45.583+01:00","networkActivity",73,"com.spotify.client","fe80::102d:c0bc:6c5e:26a9","",2,2,"AppInitiated"
