"","firstTimeStamp","timeStamp","type","hits","accessor.identifier","category","kind","bundleID","domain","domainOwner","domainType","domainClassification","initiatedType"
"1",NA,"2025-02-07T07:00:01.358+01:00","access",NA,"com.apple.weather","location","intervalBegin",NA,NA,NA,NA,NA,NA
"2",NA,"2025-02-07T07:00:14.452+01:00","access",NA,"com.apple.weather","location","intervalEnd",NA,NA,NA,NA,NA,NA
"3",NA,"2025-02-07T07:02:54.617+01:00","access",NA,"com.apple.mobilemail","contacts","intervalBegin",NA,NA,NA,NA,NA,NA
"4",NA,"2025-02-07T07:02:59.363+01:00","access",NA,"com.apple.mobilemail","contacts","intervalEnd",NA,NA,NA,NA,NA,NA
"5",NA,"2025-02-07T07:03:05.840+01:00","access",NA,"com.apple.mobilemail","contacts","intervalBegin",NA,NA,NA,NA,NA,NA
"6",NA,"2025-02-07T07:03:10.969+01:00","access",NA,"com.apple.mobilemail","contacts","intervalEnd",NA,NA,NA,NA,NA,NA
"7",NA,"2025-02-07T07:03:16.721+01:00","access",NA,"com.burbn.instagram","photos","intervalBegin",NA,NA,NA,NA,NA,NA
"8",NA,"2025-02-07T07:03:16.763+01:00","access",NA,"com.burbn.instagram","photos","intervalBegin",NA,NA,NA,NA,NA,NA
"9",NA,"2025-02-07T07:03:54.135+01:00","access",NA,"com.burbn.instagram","photos","intervalEnd",NA,NA,NA,NA,NA,NA
"10",NA,"2025-02-07T07:03:58.362+01:00","access",NA,"com.burbn.instagram","photos","intervalBegin",NA,NA,NA,NA,NA,NA
"11",NA,"2025-02-07T07:03:58.399+01:00","access",NA,"com.burbn.instagram","photos","intervalBegin",NA,NA,NA,NA,NA,NA
"12",NA,"2025-02-07T07:04:31.704+01:00","access",NA,"com.burbn.instagram","photos","intervalEnd",NA,NA,NA,NA,NA,NA
"13",NA,"2025-02-07T07:04:58.493+01:00","access",NA,"com.burbn.instagram","photos","intervalEnd",NA,NA,NA,NA,NA,NA
"14",NA,"2025-02-07T07:05:13.345+01:00","access",NA,"com.burbn.instagram","photos","intervalEnd",NA,NA,NA,NA,NA,NA
"15",NA,"2025-02-07T07:05:39.285+01:00","access",NA,"com.apple.Music","mediaLibrary","intervalBegin",NA,NA,NA,NA,NA,NA
"16",NA,"2025-02-07T07:05:39.426+01:00","access",NA,"com.apple.podcasts","contacts","intervalBegin",NA,NA,NA,NA,NA,NA
"17",NA,"2025-02-07T07:05:39.426+01:00","access",NA,"com.apple.podcasts","mediaLibrary","intervalBegin",NA,NA,NA,NA,NA,NA
"18",NA,"2025-02-07T07:06:08.834+01:00","access",NA,"com.apple.Music","mediaLibrary","intervalEnd",NA,NA,NA,NA,NA,NA
"19",NA,"2025-02-07T07:06:08.840+01:00","access",NA,"com.apple.podcasts","mediaLibrary","intervalEnd",NA,NA,NA,NA,NA,NA
"20",NA,"2025-02-07T07:06:08.841+01:00","access",NA,"com.apple.podcasts","contacts","intervalEnd",NA,NA,NA,NA,NA,NA
"21",NA,"2025-02-07T07:08:41.301+01:00","access",NA,"com.toyopagroup.picaboo","camera","intervalBegin",NA,NA,NA,NA,NA,NA
"22",NA,"2025-02-07T07:08:41.430+01:00","access",NA,"com.toyopagroup.picaboo","contacts","intervalBegin",NA,NA,NA,NA,NA,NA
"23",NA,"2025-02-07T07:08:43.725+01:00","access",NA,"com.toyopagroup.picaboo","camera","intervalEnd",NA,NA,NA,NA,NA,NA
"24",NA,"2025-02-07T07:09:56.425+01:00","access",NA,"com.toyopagroup.picaboo","contacts","intervalEnd",NA,NA,NA,NA,NA,NA
"25",NA,"2025-02-07T07:19:53.406+01:00","access",NA,"com.apple.weather","location","intervalBegin",NA,NA,NA,NA,NA,NA
"26",NA,"2025-02-07T07:20:07.602+01:00","access",NA,"com.apple.weather","location","intervalEnd",NA,NA,NA,NA,NA,NA
"27",NA,"2025-02-07T07:24:33.593+01:00","access",NA,"ch.admin.meteoswiss","location","intervalBegin",NA,NA,NA,NA,NA,NA
"28",NA,"2025-02-07T07:24:44.026+01:00","access",NA,"ch.admin.meteoswiss","location","intervalEnd",NA,NA,NA,NA,NA,NA
"29",NA,"2025-02-07T07:27:20.706+01:00","access",NA,"com.apple.camera","camera","intervalBegin",NA,NA,NA,NA,NA,NA
"30",NA,"2025-02-07T07:27:20.796+01:00","access",NA,"com.apple.camera","location","intervalBegin",NA,NA,NA,NA,NA,NA
"31",NA,"2025-02-07T07:27:21.004+01:00","access",NA,"com.apple.camera","microphone","intervalBegin",NA,NA,NA,NA,NA,NA
"32",NA,"2025-02-07T07:27:23.507+01:00","access",NA,"com.apple.camera","camera","intervalEnd",NA,NA,NA,NA,NA,NA
"33",NA,"2025-02-07T07:27:23.510+01:00","access",NA,"com.apple.camera","microphone","intervalEnd",NA,NA,NA,NA,NA,NA
"34",NA,"2025-02-07T07:27:23.827+01:00","access",NA,"com.apple.camera","photos","intervalBegin",NA,NA,NA,NA,NA,NA
"35",NA,"2025-02-07T07:27:26.589+01:00","access",NA,"com.apple.camera","photos","intervalEnd",NA,NA,NA,NA,NA,NA
"36",NA,"2025-02-07T07:27:27.049+01:00","access",NA,"com.apple.camera","photos","intervalBegin",NA,NA,NA,NA,NA,NA
"37",NA,"2025-02-07T07:27:27.240+01:00","access",NA,"com.apple.camera","photos","intervalEnd",NA,NA,NA,NA,NA,NA
"38",NA,"2025-02-07T07:27:29.933+01:00","access",NA,"com.apple.mobileslideshow","photos","intervalBegin",NA,NA,NA,NA,NA,NA
"39",NA,"2025-02-07T07:27:30.102+01:00","access",NA,"com.apple.mobileslideshow","contacts","intervalBegin",NA,NA,NA,NA,NA,NA
"40",NA,"2025-02-07T07:27:32.877+01:00","access",NA,"com.apple.camera","location","intervalEnd",NA,NA,NA,NA,NA,NA
"41",NA,"2025-02-07T07:27:50.357+01:00","access",NA,"com.apple.mobileslideshow","contacts","intervalEnd",NA,NA,NA,NA,NA,NA
"42",NA,"2025-02-07T07:27:50.357+01:00","access",NA,"com.apple.mobileslideshow","photos","intervalEnd",NA,NA,NA,NA,NA,NA
"43",NA,"2025-02-07T07:28:06.372+01:00","access",NA,"com.burbn.instagram","photos","intervalBegin",NA,NA,NA,NA,NA,NA
"44",NA,"2025-02-07T07:28:06.420+01:00","access",NA,"com.burbn.instagram","photos","intervalBegin",NA,NA,NA,NA,NA,NA
