"","firstTimeStamp","timeStamp","hits","bundleID","domain","domainOwner","domainType","domainClassification","initiatedType"
"1","2025-08-31T14:03:51.042+02:00","2025-09-05T14:18:38.953+02:00",7,"com.spotify.client","pfx.vpixl.com","",2,1,"AppInitiated"
"2","2025-08-31T14:03:25.775+02:00","2025-09-07T07:59:34.904+02:00",11,"com.spotify.client","cdn.branch.io","",2,1,"AppInitiated"
"3","2025-08-31T14:03:35.839+02:00","2025-09-07T08:00:05.124+02:00",10,"com.spotify.client","gew4-spclient.spotify.com","",2,1,"AppInitiated"
"4","2025-08-31T14:03:50.690+02:00","2025-09-06T00:55:28.946+02:00",8,"com.spotify.client","pdst.fm","",2,1,"AppInitiated"
"5","2025-08-31T14:03:24.053+02:00","2025-09-07T07:59:35.666+02:00",9,"com.spotify.client","clients3.google.com","",2,1,"AppInitiated"
"6","2025-08-31T14:03:52.487+02:00","2025-09-05T14:18:39.745+02:00",9,"com.spotify.client","nyt.simplecastaudio.com","",2,1,"AppInitiated"
"7","2025-08-31T14:04:11.916+02:00","2025-09-06T00:55:47.380+02:00",6,"com.spotify.client","chtbl.com","",2,1,"AppInitiated"
"8","2025-08-31T14:03:35.851+02:00","2025-09-07T08:00:05.088+02:00",10,"com.spotify.client","gew4-dealer.g2.spotify.com","",2,1,"AppInitiated"
"9","2025-08-31T14:03:57.402+02:00","2025-09-05T14:18:29.805+02:00",4,"com.spotify.client","video-akpcw.spotifycdn.com","",2,1,"AppInitiated"
"10","2025-08-31T14:03:30.855+02:00","2025-09-04T22:26:33.572+02:00",8,"com.spotify.client","ff02::fb","",2,2,"AppInitiated"
"11","2025-08-31T14:03:53.485+02:00","2025-09-07T07:59:34.810+02:00",8,"com.spotify.client","firebaselogging-pa.googleapis.com","Google LLC",1,1,"AppInitiated"
"12","2025-08-31T14:04:10.793+02:00","2025-09-06T00:55:34.497+02:00",10,"com.spotify.client","audio-fa.scdn.co","",2,1,"AppInitiated"
"13","2025-08-31T14:03:38.742+02:00","2025-09-01T17:41:03.718+02:00",225,"com.spotify.client","fe80::cdb:5614:62f6:c82","",2,2,"AppInitiated"
"14","2025-08-31T14:03:39.487+02:00","2025-09-07T07:59:47.855+02:00",12,"com.spotify.client","region1.app-measurement.com","Google LLC",1,1,"AppInitiated"
"15","2025-08-31T14:03:23.591+02:00","2025-08-31T14:03:23.591+02:00",1,"com.spotify.client","clienttoken.spotify.com","",2,1,"AppInitiated"
"16","2025-08-31T14:03:35.848+02:00","2025-09-06T00:55:12.868+02:00",6,"com.spotify.client","image-cdn-fa.spotifycdn.com","",2,1,"AppInitiated"
"17","2025-08-31T14:03:35.820+02:00","2025-09-07T07:59:43.790+02:00",9,"com.spotify.client","app-measurement.com","Google LLC",1,1,"AppInitiated"
"18","2025-08-31T14:03:32.167+02:00","2025-09-07T07:59:36.541+02:00",8,"com.spotify.client","apresolve.spotify.com","",2,1,"AppInitiated"
"19","2025-08-31T14:04:11.387+02:00","2025-09-06T00:55:28.681+02:00",9,"com.spotify.client","www.podtrac.com","",2,1,"AppInitiated"
"20","2025-08-31T14:03:51.513+02:00","2025-09-06T00:55:29.692+02:00",8,"com.spotify.client","pscrb.fm","",2,1,"AppInitiated"
"21","2025-08-31T14:04:25.014+02:00","2025-09-06T00:55:29.248+02:00",6,"com.spotify.client","chrt.fm","",2,1,"AppInitiated"
"22","2025-08-31T14:03:50.269+02:00","2025-09-05T14:18:38.760+02:00",8,"com.spotify.client","dts.podtrac.com","",2,1,"AppInitiated"
"23","2025-08-31T14:03:23.608+02:00","2025-09-07T07:59:34.492+02:00",10,"com.spotify.client","links.tospotify.com","",2,1,"AppInitiated"
"24","2025-08-31T14:03:23.554+02:00","2025-09-05T14:18:10.717+02:00",3,"com.spotify.client","firebase-settings.crashlytics.com","Google LLC",1,1,"AppInitiated"
"25","2025-08-31T14:04:13.011+02:00","2025-09-06T00:55:31.299+02:00",7,"com.spotify.client","dcs-spotify.megaphone.fm","",2,1,"AppInitiated"
"26","2025-08-31T14:04:12.464+02:00","2025-09-06T00:55:30.899+02:00",7,"com.spotify.client","traffic.megaphone.fm","",2,1,"AppInitiated"
"27","2025-08-31T14:03:29.805+02:00","2025-09-07T07:59:42.094+02:00",8,"com.spotify.client","census-app-x.scorecardresearch.com","",2,1,"AppInitiated"
"28","2025-08-31T14:03:55.668+02:00","2025-08-31T14:03:55.668+02:00",1,"com.spotify.client","scontent-cdg4-3.xx.fbcdn.net","",2,1,"AppInitiated"
"29","2025-08-31T14:03:23.618+02:00","2025-09-07T07:59:34.226+02:00",7,"com.spotify.client","inappcheck.itunes.apple.com","",2,1,"AppInitiated"
"30","2025-08-31T14:05:27.258+02:00","2025-09-04T23:11:58.869+02:00",441,"com.spotify.client","fe80::1","",2,2,"AppInitiated"
"31","2025-08-31T19:04:30.803+02:00","2025-09-06T00:55:25.862+02:00",4,"com.spotify.client","flex.acast.com","",2,1,"AppInitiated"
"32","2025-08-31T19:03:58.890+02:00","2025-09-06T00:55:28.669+02:00",7,"com.spotify.client","i.scdn.co","",2,1,"AppInitiated"
"33","2025-08-31T19:03:59.048+02:00","2025-08-31T19:03:59.048+02:00",1,"com.spotify.client","239.255.255.250","",2,2,"AppInitiated"
"34","2025-08-31T19:04:31.348+02:00","2025-09-06T00:55:26.301+02:00",5,"com.spotify.client","stitcher2.acast.com","",2,1,"AppInitiated"
"35","2025-08-31T19:03:41.165+02:00","2025-09-07T07:59:34.466+02:00",10,"com.spotify.client","login5.spotify.com","",2,1,"AppInitiated"
"36","2025-08-31T19:03:58.901+02:00","2025-09-04T23:11:58.882+02:00",318,"com.spotify.client","fe80::8cec:7bff:fee9:5e64","",2,2,"AppInitiated"
"37","2025-08-31T19:03:58.524+02:00","2025-08-31T19:03:58.524+02:00",1,"com.spotify.client","224.0.0.251","",2,2,"AppInitiated"
"38","2025-08-31T19:03:41.162+02:00","2025-09-07T07:59:34.211+02:00",14,"com.spotify.client","spclient.wg.spotify.com","",2,1,"AppInitiated"
"39","2025-08-31T19:04:49.024+02:00","2025-09-06T00:54:46.845+02:00",6,"com.spotify.client","image-cdn-ak.spotifycdn.com","",2,1,"AppInitiated"
"40","2025-08-31T19:11:10.092+02:00","2025-09-04T22:19:49.478+02:00",2,"com.spotify.client","pickasso.spotifycdn.com","",2,1,"AppInitiated"
"41","2025-08-31T19:13:16.800+02:00","2025-09-04T22:19:47.777+02:00",2,"com.spotify.client","heads-fa-tls13.spotifycdn.com","",2,1,"AppInitiated"
"42","2025-08-31T19:11:40.464+02:00","2025-09-06T00:55:36.460+02:00",2,"com.spotify.client","audio-fa-del-574.spotifycdn.com","",2,1,"AppInitiated"
"43","2025-08-31T19:11:17.702+02:00","2025-09-04T22:20:22.101+02:00",2,"com.spotify.client","audio-ak.spotifycdn.com","",2,1,"AppInitiated"
