"","firstTimeStamp","timeStamp","hits","bundleID","domain","domainOwner","domainType","domainClassification","initiatedType"
"1","2025-01-28T02:22:34.228+01:00","2025-02-04T09:43:01.824+01:00",47,"com.spotify.client","fe80::1cc7:9d8e:fc6:65e7","",2,2,"AppInitiated"
"2","2025-01-28T09:13:44.389+01:00","2025-02-04T09:51:40.801+01:00",17,"com.spotify.client","image-cdn-fa.spotifycdn.com","",2,1,"AppInitiated"
"3","2025-01-28T09:19:03.913+01:00","2025-02-03T10:41:56.703+01:00",7,"com.spotify.client","pfx.vpixl.com","",2,1,"AppInitiated"
"4","2025-01-28T09:19:04.564+01:00","2025-02-03T10:41:57.331+01:00",7,"com.spotify.client","nyt.simplecastaudio.com","",2,1,"AppInitiated"
"5","2025-01-28T09:19:03.071+01:00","2025-02-03T10:41:55.998+01:00",7,"com.spotify.client","dts.podtrac.com","",2,1,"AppInitiated"
"6","2025-01-28T13:33:13.695+01:00","2025-02-04T09:56:25.344+01:00",212,"com.spotify.client","spclient.wg.spotify.com","",2,1,"AppInitiated"
"7","2025-01-28T13:33:14.589+01:00","2025-02-04T09:56:25.850+01:00",125,"com.spotify.client","gew4-dealer.g2.spotify.com","",2,1,"AppInitiated"
"8","2025-01-28T13:33:07.220+01:00","2025-02-04T09:56:07.898+01:00",111,"com.spotify.client","app-measurement.com","Google LLC",1,1,"AppInitiated"
"9","2025-01-28T13:33:13.285+01:00","2025-02-04T09:51:37.541+01:00",84,"com.spotify.client","login5.spotify.com","",2,1,"AppInitiated"
"10","2025-01-28T13:33:14.600+01:00","2025-02-04T09:56:25.347+01:00",118,"com.spotify.client","gew4-spclient.spotify.com","",2,1,"AppInitiated"
"11","2025-01-28T13:38:03.057+01:00","2025-02-04T09:20:45.347+01:00",152,"com.spotify.client","ap-gew4.spotify.com","",2,1,"AppInitiated"
"12","2025-01-28T14:01:30.196+01:00","2025-02-04T09:56:25.863+01:00",109,"com.spotify.client","cdn.branch.io","",2,1,"AppInitiated"
"13","2025-01-28T14:01:30.203+01:00","2025-02-04T08:51:10.234+01:00",31,"com.spotify.client","clients3.google.com","",2,1,"AppInitiated"
"14","2025-01-28T14:01:30.209+01:00","2025-02-04T09:56:25.677+01:00",97,"com.spotify.client","api3.branch.io","",2,1,"AppInitiated"
"15","2025-01-28T14:01:30.199+01:00","2025-01-28T14:01:30.199+01:00",1,"com.spotify.client","firebaseinstallations.googleapis.com","",2,1,"AppInitiated"
"16","2025-01-28T14:01:46.646+01:00","2025-01-28T16:09:21.352+01:00",2,"com.spotify.client","192.168.1.102","",2,2,"AppInitiated"
"17","2025-01-28T14:01:50.300+01:00","2025-02-04T08:51:23.052+01:00",16,"com.spotify.client","traffic.megaphone.fm","",2,1,"AppInitiated"
"18","2025-01-28T14:01:50.746+01:00","2025-02-04T08:51:23.423+01:00",15,"com.spotify.client","dcs-spotify.megaphone.fm","",2,1,"AppInitiated"
"19","2025-01-28T14:01:49.154+01:00","2025-02-04T08:51:21.915+01:00",10,"com.spotify.client","www.podtrac.com","",2,1,"AppInitiated"
