"","firstTimeStamp","timeStamp","hits","bundleID","domain","domainOwner","domainType","domainClassification","initiatedType"
"1","2025-01-28T11:53:48.352+01:00","2025-02-03T01:11:59.769+01:00",13,"ch.tutti.iphone","node1-rtb.gravite.net","",2,1,"AppInitiated"
"2","2025-01-28T11:53:53.384+01:00","2025-02-03T15:11:40.588+01:00",13,"ch.tutti.iphone","app-analytics-services.com","",2,1,"AppInitiated"
"3","2025-01-28T11:53:44.199+01:00","2025-02-03T01:11:56.114+01:00",23,"ch.tutti.iphone","g.doubleclick.net","Google LLC",1,1,"AppInitiated"
"4","2025-01-28T11:53:44.184+01:00","2025-02-02T09:57:40.109+01:00",24,"ch.tutti.iphone","firebaseremoteconfigrealtime.googleapis.com","",2,1,"AppInitiated"
"5","2025-01-28T11:53:44.154+01:00","2025-02-03T15:11:41.438+01:00",37,"ch.tutti.iphone","api.tutti.ch","",2,1,"AppInitiated"
"6","2025-01-28T11:56:25.188+01:00","2025-02-03T01:11:56.056+01:00",10,"ch.tutti.iphone","rules2.aatkit.com","",2,1,"AppInitiated"
"7","2025-01-28T12:04:28.030+01:00","2025-02-02T09:57:40.125+01:00",13,"ch.tutti.iphone","rules3.aatkit.com","AddApptr GmbH",1,1,"AppInitiated"
"8","2025-01-28T15:48:22.378+01:00","2025-02-03T15:11:41.596+01:00",14,"ch.tutti.iphone","googleads.g.doubleclick.net","Google LLC",1,1,"AppInitiated"
"9","2025-01-28T15:48:22.780+01:00","2025-02-02T09:57:41.611+01:00",20,"ch.tutti.iphone","acdn.adnxs.com","",2,1,"AppInitiated"
"10","2025-01-28T15:48:22.821+01:00","2025-02-03T01:11:56.054+01:00",24,"ch.tutti.iphone","ib.adnxs-simple.com","",2,1,"AppInitiated"
"11","2025-01-29T11:29:22.151+01:00","2025-02-03T01:11:56.105+01:00",13,"ch.tutti.iphone","rules.aatkit.com","AddApptr GmbH",1,1,"AppInitiated"
"12","2025-01-29T11:29:22.801+01:00","2025-02-03T01:11:56.112+01:00",17,"ch.tutti.iphone","firebaselogging-pa.googleapis.com","Google LLC",1,1,"AppInitiated"
"13","2025-01-29T11:29:23.881+01:00","2025-02-02T09:57:42.197+01:00",17,"ch.tutti.iphone","cdn.cookielaw.org","",2,1,"AppInitiated"
"14","2025-01-29T11:29:22.448+01:00","2025-02-02T09:57:40.131+01:00",7,"ch.tutti.iphone","www.googletagmanager.com","Google LLC",1,1,"AppInitiated"
"15","2025-01-29T11:29:23.307+01:00","2025-02-02T09:57:41.602+01:00",17,"ch.tutti.iphone","mobile-data.onetrust.io","",2,1,"AppInitiated"
"16","2025-01-29T11:29:23.406+01:00","2025-02-02T09:57:41.522+01:00",17,"ch.tutti.iphone","amp-api-edge.apps.apple.com","",2,1,"AppInitiated"
"17","2025-01-29T11:29:22.831+01:00","2025-02-02T09:57:41.077+01:00",9,"ch.tutti.iphone","firebaseremoteconfig.googleapis.com","Google LLC",1,1,"AppInitiated"
"18","2025-01-29T11:29:22.265+01:00","2025-02-03T01:11:56.124+01:00",11,"ch.tutti.iphone","inappcheck.itunes.apple.com","",2,1,"AppInitiated"
"19","2025-01-29T11:42:22.896+01:00","2025-02-03T01:11:56.121+01:00",10,"ch.tutti.iphone","c.tutti.ch","",2,1,"AppInitiated"
"20","2025-01-29T11:42:35.060+01:00","2025-02-03T01:12:12.128+01:00",9,"ch.tutti.iphone","reporting.aatkit.com","",2,1,"AppInitiated"
"21","2025-01-29T11:42:22.769+01:00","2025-02-03T01:11:56.126+01:00",13,"ch.tutti.iphone","region1.app-analytics-services.com","",2,1,"AppInitiated"
"22","2025-01-29T11:42:35.052+01:00","2025-02-03T01:12:11.999+01:00",12,"ch.tutti.iphone","tracking.aatkit.com","AddApptr GmbH",1,1,"AppInitiated"
