"","domain","total_accesses","DomainOwnerName","domainType","domainClassification","notes"
"1","firebaseinstallations.googleapis.com",244,"Google",2,1,""
"2","inappcheck.itunes.apple.com",199,"Apple",2,1,""
"3","firebase-settings.crashlytics.com",179,"Google",1,1,""
"4","gateway.icloud.com",175,"Apple",2,1,""
"5","firebaselogging-pa.googleapis.com",160,"Google",1,1,""
"6","amp-api-edge.apps.apple.com",132,"Apple",2,1,""
"7","app-analytics-services.com",130,"Google",2,1,""
"8","region1.app-analytics-services.com",124,"Google",2,1,""
"9","mzstorekit.itunes.apple.com",114,"Apple",2,1,""
"10","firebaseremoteconfig.googleapis.com",104,"Google",1,1,""
"11","firebaseremoteconfig.googleapis.com",104,"Google",2,1,""
"12","g.doubleclick.net",91,"Google",1,1,""
"13","bag.itunes.apple.com",83,"Apple",2,1,""
"14","metrics.icloud.com",80,"Apple",2,1,""
"15","google.com",70,"Google",2,1,""
"16","google.com",70,"Google",1,1,""
"17","gsp-ssl.ls.apple.com",70,"Apple",2,1,""
"18","gspe19-2-ssl.ls.apple.com",57,"Apple",2,1,""
"19","ocsp2.apple.com",56,"Apple",2,1,""
"20","ca.iadsdk.apple.com",55,"Apple",2,1,""
"21","gspe19-ssl.ls.apple.com",55,"Apple",2,1,""
"22","ocsp.digicert.com",55,"DigiCert",2,1,""
"23","lh3.googleusercontent.com",52,"Google",2,1,""
"24","pagead2.googlesyndication.com",51,"Google",1,1,""
"25","fonts.gstatic.com",50,"Google",2,1,""
"26","fonts.gstatic.com",50,"Google",1,1,""
"27","googleapis.com",49,"Google",2,1,""
"28","graph.facebook.com",48,"Meta",1,1,""
"29","gstatic.com",48,"Google",2,1,""
"30","play.googleapis.com",47,"Google",2,1,""
"31","device-provisioning.googleapis.com",46,"Google",2,1,""
"32","app-measurement.com",45,"Google",1,1,""
"33","googletagmanager.com",45,"Google",1,1,""
"34","ingest.sentry.io",45,"Functional Software",1,1,""
"35","itunes.apple.com",45,"Apple",2,1,""
"36","clients3.google.com",44,"Google",2,1,""
"37","api3.branch.io",42,"Branch",2,1,""
"38","cdn.cookielaw.org",42,"OneTrust",2,1,""
"39","fpinit.itunes.apple.com",42,"Apple",2,1,""
"40","googleads.g.doubleclick.net",42,"Google",1,1,""
"41","in.appcenter.ms",41,"Microsoft",1,1,""
"42","crashlyticsreports-pa.googleapis.com",39,"Google",1,1,""
"43","fonts.googleapis.com",39,"Google",2,1,""
"44","fonts.googleapis.com",39,"Google",1,1,""
"45","cdn.branch.io",36,"Branch",2,1,""
"46","oauthaccountmanager.googleapis.com",34,"Google",2,1,""
"47","configuration.apple.com",33,"Apple",2,1,""
"48","oauth2.googleapis.com",33,"Google",2,1,""
"49","client-api.itunes.apple.com",32,"Apple",2,1,""
"50","mobile-data.onetrust.io",32,"Other",2,1,""
"51","region1.app-measurement.com",32,"Google",1,1,""
"52","youtube.com",31,"Google",2,1,""
"53","youtube.com",31,"Google",1,1,""
"54","is1-ssl.mzstatic.com",30,"Apple",2,1,""
"55","people-pa.googleapis.com",30,"Google",2,1,""
"56","outlook.office365.com",28,"Microsoft",2,1,""
"57","apps.mzstatic.com",27,"Apple",2,1,""
"58","firebaseappcheck.googleapis.com",27,"Google",2,1,""
"59","login.microsoftonline.com",27,"Microsoft",2,1,""
"60","notifications-pa.googleapis.com",27,"Google",2,1,""
"61","profile.gc.apple.com",27,"Apple",2,1,""
"62","entitlements.itunes.apple.com",26,"Apple",2,1,""
"63","facebook.com",24,"Meta",1,1,""
"64","gcs-eu-00002.content-storage-download.googleapis.com",24,"Google",2,1,""
"65","setup.icloud.com",24,"Apple",2,1,""
"66","tpc.googlesyndication.com",24,"Google",2,1,""
"67","clients4.google.com",23,"Google",2,1,""
"68","census-app-x.scorecardresearch.com",22,"comScore Inc.",2,1,""
"69","fcmtoken.googleapis.com",22,"Google",2,1,""
"70","i.scdn.co",22,"Other",2,1,""
"71","googletagservices.com",21,"Google",2,1,""
