"","domain","total_accesses","domainOwner","DomainOwnerName","domainType","domainClassification","initiatedType","notes"
"1","firebaseinstallations.googleapis.com",93,"","Google",2,1,"AppInitiated",""
"2","inappcheck.itunes.apple.com",77,"","Apple",2,1,"AppInitiated",""
"3","firebase-settings.crashlytics.com",64,"Google LLC","Google",1,1,"AppInitiated",""
"4","firebaselogging-pa.googleapis.com",55,"Google LLC","Google",1,1,"AppInitiated",""
"5","app-analytics-services.com",48,"","Google",2,1,"AppInitiated",""
"6","region1.app-analytics-services.com",47,"","Google",2,1,"AppInitiated",""
"7","mzstorekit.itunes.apple.com",46,"","Apple",2,1,"AppInitiated",""
"8","amp-api-edge.apps.apple.com",45,"","Apple",2,1,"AppInitiated",""
"9","gateway.icloud.com",44,"","Apple",2,1,"AppInitiated",""
"10","g.doubleclick.net",40,"Google LLC","Google",1,1,"AppInitiated",""
"11","firebaseremoteconfig.googleapis.com",36,"Google LLC","Google",1,1,"AppInitiated",""
"12","www.google.com",30,"","Google",2,1,"AppInitiated",""
"13","www.google.com",30,"","Google",2,1,"NonAppInitiated",""
"14","www.google.com",30,"Google LLC","Google",1,1,"AppInitiated",""
"15","ca.iadsdk.apple.com",27,"","Apple",2,1,"AppInitiated",""
"16","graph.facebook.com",25,"Facebook, Inc.","Meta",1,1,"AppInitiated",""
"17","graph.facebook.com",25,"","Meta",1,1,"AppInitiated",""
"18","googleads.g.doubleclick.net",24,"Google LLC","Google",1,1,"AppInitiated",""
"19","bag.itunes.apple.com",23,"","Apple",2,1,"AppInitiated",""
"20","fonts.gstatic.com",21,"","Google",2,1,"AppInitiated",""
"21","gsp-ssl.ls.apple.com",21,"","Apple",2,1,"AppInitiated",""
"22","www.googletagmanager.com",21,"Google LLC","Google",1,1,"AppInitiated",""
"23","api3.branch.io",20,"","Branch",2,1,"AppInitiated",""
"24","app-measurement.com",20,"Google LLC","Google",1,1,"AppInitiated",""
"25","metrics.icloud.com",20,"","Apple",2,1,"AppInitiated",""
"26","clients3.google.com",19,"","Google",2,1,"AppInitiated",""
"27","lh3.googleusercontent.com",19,"","Google",2,1,"AppInitiated",""
"28","pagead2.googlesyndication.com",19,"Google LLC","Google",1,1,"AppInitiated",""
"29","www.gstatic.com",19,"","Google",2,1,"AppInitiated",""
"30","cdn.cookielaw.org",18,"","OneTrust",2,1,"AppInitiated",""
"31","gspe19-ssl.ls.apple.com",18,"","Apple",2,1,"AppInitiated",""
"32","ingest.sentry.io",18,"Functional Software, Inc.","Functional Software",1,1,"AppInitiated",""
"33","device-provisioning.googleapis.com",17,"","Google",2,1,"AppInitiated",""
"34","ocsp.digicert.com",17,"","DigiCert",2,1,"AppInitiated",""
"35","cdn.branch.io",16,"","Branch",2,1,"AppInitiated",""
"36","fonts.googleapis.com",16,"","Google",2,1,"AppInitiated",""
"37","fonts.googleapis.com",16,"","Google",1,1,"NonAppInitiated",""
"38","gspe19-2-ssl.ls.apple.com",16,"","Apple",2,1,"AppInitiated",""
"39","ocsp2.apple.com",16,"","Apple",2,1,"AppInitiated",""
"40","play.googleapis.com",16,"","Google",2,1,"AppInitiated",""
"41","www.googleapis.com",16,"","Google",2,1,"AppInitiated",""
"42","crashlyticsreports-pa.googleapis.com",14,"Google LLC","Google",1,1,"AppInitiated",""
"43","in.appcenter.ms",14,"Microsoft Corporation","Microsoft",1,1,"AppInitiated",""
"44","itunes.apple.com",14,"","Apple",2,1,"AppInitiated",""
"45","mobile-data.onetrust.io",14,"","Other",2,1,"AppInitiated",""
"46","client-api.itunes.apple.com",13,"","Apple",2,1,"AppInitiated",""
"47","region1.app-measurement.com",13,"Google LLC","Google",1,1,"AppInitiated",""
"48","www.facebook.com",13,"Facebook, Inc.","Meta",1,1,"AppInitiated",""
"49","www.facebook.com",13,"","Meta",1,1,"AppInitiated",""
"50","www.youtube.com",12,"","Google",2,1,"AppInitiated",""
"51","www.youtube.com",12,"","Google",2,1,"NonAppInitiated",""
"52","fpinit.itunes.apple.com",11,"","Apple",2,1,"AppInitiated",""
"53","is1-ssl.mzstatic.com",11,"","Apple",2,1,"AppInitiated",""
"54","is1-ssl.mzstatic.com",11,"","Apple",2,1,"NonAppInitiated",""
"55","notifications-pa.googleapis.com",11,"","Google",2,1,"AppInitiated",""
"56","oauth2.googleapis.com",11,"","Google",2,1,"AppInitiated",""
"57","oauthaccountmanager.googleapis.com",11,"","Google",2,1,"AppInitiated",""
"58","157.240.17.3",10,"","Other",2,2,"AppInitiated",""
"59","api-adservices.apple.com",10,"","Apple",2,1,"AppInitiated",""
