"","domain","total_accesses","domainOwner","DomainOwnerName","domainType","domainClassification","initiatedType","notes"
"1","firebaseinstallations.googleapis.com",81,"","Google",2,1,"AppInitiated",""
"2","inappcheck.itunes.apple.com",68,"","Apple",2,1,"AppInitiated",""
"3","gateway.icloud.com",66,"","Apple",2,1,"AppInitiated",""
"4","firebase-settings.crashlytics.com",62,"Google LLC","Google",1,1,"AppInitiated",""
"5","firebaselogging-pa.googleapis.com",57,"Google LLC","Google",1,1,"AppInitiated",""
"6","amp-api-edge.apps.apple.com",51,"","Apple",2,1,"AppInitiated",""
"7","app-analytics-services.com",46,"","Google",2,1,"AppInitiated",""
"8","firebaseremoteconfig.googleapis.com",41,"Google LLC","Google",1,1,"AppInitiated",""
"9","firebaseremoteconfig.googleapis.com",41,"","Google",2,1,"AppInitiated",""
"10","firebaseremoteconfig.googleapis.com",41,"","Google",1,1,"AppInitiated",""
"11","region1.app-analytics-services.com",41,"","Google",2,1,"AppInitiated",""
"12","g.doubleclick.net",35,"Google LLC","Google",1,1,"AppInitiated",""
"13","mzstorekit.itunes.apple.com",34,"","Apple",2,1,"AppInitiated",""
"14","metrics.icloud.com",33,"","Apple",2,1,"AppInitiated",""
"15","bag.itunes.apple.com",28,"","Apple",2,1,"AppInitiated",""
"16","gsp-ssl.ls.apple.com",22,"","Apple",2,1,"AppInitiated",""
"17","gspe19-2-ssl.ls.apple.com",20,"","Apple",2,1,"AppInitiated",""
"18","itunes.apple.com",19,"","Apple",2,1,"AppInitiated",""
"19","pagead2.googlesyndication.com",19,"Google LLC","Google",1,1,"AppInitiated",""
"20","gspe19-ssl.ls.apple.com",18,"","Apple",2,1,"AppInitiated",""
"21","ocsp.digicert.com",18,"","DigiCert",2,1,"AppInitiated",""
"22","ocsp2.apple.com",18,"","Apple",2,1,"AppInitiated",""
"23","fonts.gstatic.com",17,"","Google",2,1,"AppInitiated",""
"24","fonts.gstatic.com",17,"","Google",1,1,"NonAppInitiated",""
"25","profile.gc.apple.com",17,"","Apple",2,1,"AppInitiated",""
"26","ca.iadsdk.apple.com",16,"","Apple",2,1,"AppInitiated",""
"27","device-provisioning.googleapis.com",16,"","Google",2,1,"AppInitiated",""
"28","fpinit.itunes.apple.com",16,"","Apple",2,1,"AppInitiated",""
"29","app-measurement.com",15,"Google LLC","Google",1,1,"AppInitiated",""
"30","cdn.cookielaw.org",15,"","OneTrust",2,1,"AppInitiated",""
"31","clients3.google.com",15,"","Google",2,1,"AppInitiated",""
"32","graph.facebook.com",15,"Facebook, Inc.","Meta",1,1,"AppInitiated",""
"33","graph.facebook.com",15,"","Meta",1,1,"AppInitiated",""
"34","in.appcenter.ms",15,"Microsoft Corporation","Microsoft",1,1,"AppInitiated",""
"35","ingest.sentry.io",15,"Functional Software, Inc.","Functional Software",1,1,"AppInitiated",""
"36","www.gstatic.com",15,"","Google",2,1,"AppInitiated",""
"37","fonts.googleapis.com",14,"","Google",2,1,"AppInitiated",""
"38","lh3.googleusercontent.com",14,"","Google",2,1,"AppInitiated",""
"39","www.google.com",14,"","Google",2,1,"AppInitiated",""
"40","www.google.com",14,"Google LLC","Google",1,1,"AppInitiated",""
"41","www.googletagmanager.com",13,"Google LLC","Google",1,1,"AppInitiated",""
"42","apps.mzstatic.com",12,"","Apple",2,1,"AppInitiated",""
"43","client-api.itunes.apple.com",12,"","Apple",2,1,"AppInitiated",""
"44","configuration.apple.com",12,"","Apple",2,1,"AppInitiated",""
"45","play.googleapis.com",12,"","Google",2,1,"AppInitiated",""
"46","www.googleapis.com",12,"","Google",2,1,"AppInitiated",""
"47","crashlyticsreports-pa.googleapis.com",11,"Google LLC","Google",1,1,"AppInitiated",""
"48","login.microsoftonline.com",11,"","Microsoft",2,1,"AppInitiated",""
"49","mobile-data.onetrust.io",11,"","Other",2,1,"AppInitiated",""
"50","outlook.office365.com",11,"","Microsoft",2,1,"NonAppInitiated",""
"51","outlook.office365.com",11,"","Microsoft",2,1,"AppInitiated",""
"52","region1.app-measurement.com",11,"Google LLC","Google",1,1,"AppInitiated",""
"53","api3.branch.io",10,"","Branch",2,1,"AppInitiated",""
"54","cdn.branch.io",10,"","Branch",2,1,"AppInitiated",""
"55","entitlements.itunes.apple.com",10,"","Apple",2,1,"AppInitiated",""
"56","ep2.facebook.com",10,"","Meta",2,1,"AppInitiated",""
"57","friend.gc.apple.com",10,"","Apple",2,1,"AppInitiated",""
"58","gcs-eu-00002.content-storage-upload.googleapis.com",10,"","Google",2,1,"AppInitiated",""
"59","is1-ssl.mzstatic.com",10,"","Apple",2,1,"AppInitiated",""
"60","oauthaccountmanager.googleapis.com",10,"","Google",2,1,"AppInitiated",""
"61","region1.app-analytics-services-att.com",10,"","AT&T Inc.",2,1,"AppInitiated",""
"62","stats.gc.apple.com",10,"","Apple",2,1,"AppInitiated",""
"63","cloud.unity3d.com",9,"Unity Software Inc.","Unity Inc.",1,1,"AppInitiated",""
"64","firebaseappcheck.googleapis.com",9,"","Google",2,1,"AppInitiated",""
"65","gcs-eu-00002.content-storage-download.googleapis.com",9,"","Google",2,1,"AppInitiated",""
"66","oauth2.googleapis.com",9,"","Google",2,1,"AppInitiated",""
"67","ocsp2.globalsign.com",9,"","Other",2,1,"AppInitiated",""
"68","s.mzstatic.com",9,"","Apple",2,1,"AppInitiated",""
