"","AppName","hits_total","tracker_hits","tracker_hit_share","entries","tracker_entries","tracker_entry_share","hits_per_entry"
"1","WhatsApp",7471,5994,80.23,474,104,21.94,15.76
"2","Ricardo",3725,2263,60.75,535,348,65.05,6.96
"3","Strava",8525,2344,27.5,373,77,20.64,22.86
"4","Youtube",11908,2289,19.22,665,53,7.97,17.91
"5","Google Maps",5171,796,15.39,470,59,12.55,11
"6","Spotify",41825,3261,7.8,1123,98,8.73,37.24
"7","Apple Mail",6470,118,1.82,271,105,38.75,23.87
"8","Signal",5747,45,0.78,328,27,8.23,17.52
"9","Apple Weather",5834,7,0.12,61,5,8.2,95.64
"10","Apple Calendar",12464,0,0,52,0,0,239.69
